"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneSymbols"
"GO:0141060","disruption of anatomical structure in another organism","9/52","156/28891",9.32681388847473e-12,8.42361000085137e-09,5.45960216718747e-09,"17329/19692/20307/55932/12796/14469/14938/16145/110382",9,"Cxcl9/Reg1/Ccl8/Gbp3/Camp/Gbp2/Gzma/Igtp/C8b"
"GO:0031640","killing of cells of another organism","8/52","110/28891",2.23240547725743e-11,8.42361000085137e-09,5.45960216718747e-09,"17329/20307/55932/12796/14469/14938/16145/110382",8,"Cxcl9/Ccl8/Gbp3/Camp/Gbp2/Gzma/Igtp/C8b"
"GO:0141061","disruption of cell in another organism","8/52","110/28891",2.23240547725743e-11,8.42361000085137e-09,5.45960216718747e-09,"17329/20307/55932/12796/14469/14938/16145/110382",8,"Cxcl9/Ccl8/Gbp3/Camp/Gbp2/Gzma/Igtp/C8b"
"GO:0042832","defense response to protozoan","6/52","43/28891",1.46169261091121e-10,4.13659008887873e-08,2.68105197317136e-08,"634650/55932/100039796/72310/14469/16145",6,"Gbp11/Gbp3/Tgtp2/Nkg7/Gbp2/Igtp"
"GO:0034341","response to type II interferon","8/52","150/28891",2.71317184310432e-10,5.51322465835577e-08,3.57329141424026e-08,"634650/20307/20303/55932/20304/14469/16145/14960",8,"Gbp11/Ccl8/Ccl4/Gbp3/Ccl5/Gbp2/Igtp/H2-Aa"
"GO:0001906","cell killing","9/52","286/28891",2.04080016330437e-09,3.25367757482874e-07,2.10880906607368e-07,"17329/20307/55932/12796/72310/14469/14938/16145/110382",9,"Cxcl9/Ccl8/Gbp3/Camp/Nkg7/Gbp2/Gzma/Igtp/C8b"
"GO:0019730","antimicrobial humoral response","8/52","221/28891",5.81832622470136e-09,7.31816142929104e-07,4.7431267586162e-07,"12945/20202/17329/19692/192201/20307/12796/17393",8,"Dmbt1/S100a9/Cxcl9/Reg1/Wfdc15b/Ccl8/Camp/Mmp7"
"GO:0006959","humoral immune response","9/52","337/28891",8.5064498086622e-09,9.62930118340561e-07,6.24104791225006e-07,"12945/20202/17329/19692/192201/20307/12796/17393/110382",9,"Dmbt1/S100a9/Cxcl9/Reg1/Wfdc15b/Ccl8/Camp/Mmp7/C8b"
"GO:0030593","neutrophil chemotaxis","6/52","110/28891",4.68617012816534e-08,4.4206204875693e-06,2.86514085906249e-06,"20202/17329/20201/20307/20303/20304",6,"S100a9/Cxcl9/S100a8/Ccl8/Ccl4/Ccl5"
"GO:0070098","chemokine-mediated signaling pathway","5/52","70/28891",1.71759754377701e-07,1.2800846867642e-05,8.29662475985355e-06,"17329/80901/20307/20303/20304",5,"Cxcl9/Cxcr6/Ccl8/Ccl4/Ccl5"
"GO:1990266","neutrophil migration","6/52","138/28891",1.80930697775859e-07,1.2800846867642e-05,8.29662475985355e-06,"20202/17329/20201/20307/20303/20304",6,"S100a9/Cxcl9/S100a8/Ccl8/Ccl4/Ccl5"
"GO:1990868","response to chemokine","5/52","80/28891",3.36568882986226e-07,1.96693657086185e-05,1.27483242504251e-05,"17329/80901/20307/20303/20304",5,"Cxcl9/Cxcr6/Ccl8/Ccl4/Ccl5"
"GO:0006935","chemotaxis","8/52","462/28891",1.63505124947718e-06,7.87074555391955e-05,5.10127362012454e-05,"100039672/20202/17329/80901/20201/20307/20303/20304",8,"Msmp/S100a9/Cxcl9/Cxcr6/S100a8/Ccl8/Ccl4/Ccl5"
"GO:0042330","taxis","8/52","464/28891",1.688379712037e-06,7.87074555391955e-05,5.10127362012454e-05,"100039672/20202/17329/80901/20201/20307/20303/20304",8,"Msmp/S100a9/Cxcl9/Cxcr6/S100a8/Ccl8/Ccl4/Ccl5"
"GO:0035458","cellular response to interferon-beta","4/52","63/28891",5.13717163858285e-06,0.000215380677587992,0.000139594878444142,"55932/100039796/14469/16145",4,"Gbp3/Tgtp2/Gbp2/Igtp"
"GO:0035456","response to interferon-beta","4/52","74/28891",9.77940894242213e-06,0.000357106158800705,0.00023145154610758,"55932/100039796/14469/16145",4,"Gbp3/Tgtp2/Gbp2/Igtp"
"GO:0071347","cellular response to interleukin-1","4/52","81/28891",1.40096759616499e-05,0.000480574339048113,0.00031147509235311,"13653/20307/20303/20304",4,"Egr1/Ccl8/Ccl4/Ccl5"
"GO:0070555","response to interleukin-1","4/52","96/28891",2.74215257151923e-05,0.000886890488845648,0.000574821155593655,"13653/20307/20303/20304",4,"Egr1/Ccl8/Ccl4/Ccl5"
"GO:0030217","T cell differentiation","6/52","339/28891",3.2263174733049e-05,0.00101449760549476,0.000657527274530267,"12502/12500/13653/16818/16145/14960",6,"Cd3g/Cd3d/Egr1/Lck/Igtp/H2-Aa"
"GO:0032496","response to lipopolysaccharide","6/52","401/28891",8.17706820695071e-05,0.00243590558164953,0.00157878574522012,"20202/17329/20201/55932/14469/16145",6,"S100a9/Cxcl9/S100a8/Gbp3/Gbp2/Igtp"
"GO:0070269","pyroptosis","3/52","50/28891",0.00010153317299711,0.00287338879581822,0.00186233214681542,"55932/14469/14938",3,"Gbp3/Gbp2/Gzma"
"GO:0044403","biological process involved in symbiotic interaction","5/52","264/28891",0.000112253151439249,0.00302548970069596,0.00196091344744754,"20307/55932/12796/20304/14469",5,"Ccl8/Gbp3/Camp/Ccl5/Gbp2"
"GO:1901616","organic hydroxy compound catabolic process","3/52","59/28891",0.000166492500664336,0.00428339797163702,0.00277620270246513,"59012/20860/13122",3,"Moxd1/Sult1e1/Cyp7a1"
"GO:0050729","positive regulation of inflammatory response","4/52","167/28891",0.000234837843442238,0.0057790530168829,0.00374558299494828,"20202/20201/72310/20304",4,"S100a9/S100a8/Nkg7/Ccl5"
"GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","3/52","73/28891",0.000312926223440067,0.00753686138157778,0.00488487296165121,"20202/20201/16818",3,"S100a9/S100a8/Lck"
"GO:0044406","adhesion of symbiont to host","2/52","15/28891",0.000328654203719131,0.00759258282877666,0.00492098775493521,"55932/14469",2,"Gbp3/Gbp2"
"GO:0140507","granzyme-mediated programmed cell death signaling pathway","2/52","15/28891",0.000328654203719131,0.00759258282877666,0.00492098775493521,"72310/14938",2,"Nkg7/Gzma"
"GO:0071356","cellular response to tumor necrosis factor","4/52","186/28891",0.000353709729899087,0.00800798828491533,0.00519022487872976,"20307/20303/55932/20304",4,"Ccl8/Ccl4/Gbp3/Ccl5"
