"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneSymbols"
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00980","Metabolism of xenobiotics by cytochrome P450 - Mus musculus (house mouse)","12/38","76/10689",1.57513228683976e-17,1.16559789226142e-15,8.95338352519442e-16,"14857/14865/14864/243085/14862/14858/112417/109857/103140/13849/100559/22238",12,"Gsta1/Gstm4/Gstm3/Ugt2b35/Gstm1/Gsta2/Ugt2b37/Cbr3/Gstt3/Ephx1/Ugt2b38/Ugt2b5"
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00982","Drug metabolism - cytochrome P450 - Mus musculus (house mouse)","11/38","72/10689",6.08408606097955e-16,1.63309951734297e-14,1.25444344148678e-14,"14857/14865/14864/243085/11761/14862/14858/112417/103140/100559/22238",11,"Gsta1/Gstm4/Gstm3/Ugt2b35/Aox1/Gstm1/Gsta2/Ugt2b37/Gstt3/Ugt2b38/Ugt2b5"
"Human Diseases","Cancer: overview","mmu05207","Chemical carcinogenesis - receptor activation - Mus musculus (house mouse)","15/38","231/10689",6.620673718958e-16,1.63309951734297e-14,1.25444344148678e-14,"14857/14865/12355/14864/243085/14862/14858/13089/112417/13088/103140/13849/13094/100559/22238",15,"Gsta1/Gstm4/Nr1i3/Gstm3/Ugt2b35/Gstm1/Gsta2/Cyp2b13/Ugt2b37/Cyp2b10/Gstt3/Ephx1/Cyp2b9/Ugt2b38/Ugt2b5"
"Human Diseases","Cancer: overview","mmu05204","Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse)","11/38","90/10689",8.0310653038507e-15,1.48574708121238e-13,1.14125664844194e-13,"14857/14865/14864/243085/14862/14858/112417/103140/13849/100559/22238",11,"Gsta1/Gstm4/Gstm3/Ugt2b35/Gstm1/Gsta2/Ugt2b37/Gstt3/Ephx1/Ugt2b38/Ugt2b5"
"Metabolism","Xenobiotics biodegradation and metabolism","mmu00983","Drug metabolism - other enzymes - Mus musculus (house mouse)","10/38","96/10689",8.12384802389579e-13,1.20232950753658e-11,9.23553249032363e-12,"14857/14865/14864/243085/14862/14858/112417/103140/100559/22238",10,"Gsta1/Gstm4/Gstm3/Ugt2b35/Gstm1/Gsta2/Ugt2b37/Gstt3/Ugt2b38/Ugt2b5"
"Metabolism","Metabolism of cofactors and vitamins","mmu00830","Retinol metabolism - Mus musculus (house mouse)","10/38","102/10689",1.51216038666573e-12,1.86499781022107e-11,1.43257299789385e-11,"13086/243085/11761/13089/112417/13088/232174/13094/100559/22238",10,"Cyp2a4/Ugt2b35/Aox1/Cyp2b13/Ugt2b37/Cyp2b10/Cyp26b1/Cyp2b9/Ugt2b38/Ugt2b5"
"Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism - Mus musculus (house mouse)","7/38","73/10689",5.50589700963819e-09,5.82051969590323e-08,4.47095396271372e-08,"14857/14865/14864/14862/14858/103140/14629",7,"Gsta1/Gstm4/Gstm3/Gstm1/Gsta2/Gstt3/Gclc"
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis - Mus musculus (house mouse)","8/38","149/10689",4.0533870653958e-08,3.74938303549111e-07,2.88003817804438e-07,"14857/14865/14864/18104/14862/14733/14858/103140",8,"Gsta1/Gstm4/Gstm3/Nqo1/Gstm1/Gpc1/Gsta2/Gstt3"
"Metabolism","Lipid metabolism","mmu00140","Steroid hormone biosynthesis - Mus musculus (house mouse)","7/38","101/10689",5.41142505894055e-08,4.00445454361601e-07,3.07596792823989e-07,"243085/13089/112417/13088/13094/100559/22238",7,"Ugt2b35/Cyp2b13/Ugt2b37/Cyp2b10/Cyp2b9/Ugt2b38/Ugt2b5"
"Organismal Systems","Digestive system","mmu04976","Bile secretion - Mus musculus (house mouse)","7/38","101/10689",5.41142505894055e-08,4.00445454361601e-07,3.07596792823989e-07,"243085/76408/112417/11833/13849/100559/22238",7,"Ugt2b35/Abcc3/Ugt2b37/Aqp8/Ephx1/Ugt2b38/Ugt2b5"
"Metabolism","Carbohydrate metabolism","mmu00053","Ascorbate and aldarate metabolism - Mus musculus (house mouse)","5/38","32/10689",8.11596706178746e-08,5.45983238702066e-07,4.19389685489496e-07,"243085/112417/22235/100559/22238",5,"Ugt2b35/Ugt2b37/Ugdh/Ugt2b38/Ugt2b5"
"Metabolism","Carbohydrate metabolism","mmu00040","Pentose and glucuronate interconversions - Mus musculus (house mouse)","5/38","36/10689",1.50378868792386e-07,9.27336357553044e-07,7.12320957437616e-07,"243085/112417/22235/100559/22238",5,"Ugt2b35/Ugt2b37/Ugdh/Ugt2b38/Ugt2b5"
"Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance - Mus musculus (house mouse)","6/38","81/10689",3.57094483321141e-07,2.03269167428957e-06,1.56138478537179e-06,"14857/14865/14864/14862/14858/103140",6,"Gsta1/Gstm4/Gstm3/Gstm1/Gsta2/Gstt3"
"Metabolism","Global and overview maps","mmu01240","Biosynthesis of cofactors - Mus musculus (house mouse)","7/38","154/10689",9.75258870575743e-07,5.15493974447178e-06,3.95969767000678e-06,"18104/243085/112417/22235/100559/14629/22238",7,"Nqo1/Ugt2b35/Ugt2b37/Ugdh/Ugt2b38/Gclc/Ugt2b5"
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)","8/38","229/10689",1.10325440615202e-06,5.44272173701663e-06,4.18075353910239e-06,"14857/14865/14864/18104/14862/14858/103140/13849",8,"Gsta1/Gstm4/Gstm3/Nqo1/Gstm1/Gsta2/Gstt3/Ephx1"
"Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma - Mus musculus (house mouse)","7/38","175/10689",2.29987233265746e-06,1.06369095385408e-05,8.17059907654625e-06,"14857/14865/14864/18104/14862/14858/103140",7,"Gsta1/Gstm4/Gstm3/Nqo1/Gstm1/Gsta2/Gstt3"
"Metabolism","Metabolism of cofactors and vitamins","mmu00860","Porphyrin metabolism - Mus musculus (house mouse)","4/38","47/10689",2.17065769114054e-05,9.44874524378825e-05,7.25792664529965e-05,"243085/112417/100559/22238",4,"Ugt2b35/Ugt2b37/Ugt2b38/Ugt2b5"
"Metabolism","Lipid metabolism","mmu00590","Arachidonic acid metabolism - Mus musculus (house mouse)","4/38","89/10689",0.000267030609762156,0.00109779250679997,0.00084325455714365,"13089/13088/109857/13094",4,"Cyp2b13/Cyp2b10/Cbr3/Cyp2b9"
"Metabolism","Amino acid metabolism","mmu00350","Tyrosine metabolism - Mus musculus (house mouse)","2/38","40/10689",0.00881637570716254,0.0343374632805278,0.0263758608413727,"13190/11761",2,"Dct/Aox1"
