"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NQO1",-0.00343920839154332,4.59974061829711,-0.0149161764502647,0.988139119627226,0.99909971479831,-5.66605950305749
"PTGR1",0.243895946285049,10.0240670366303,2.75320797035249,0.00741700654565398,0.35420986830537,-2.45719585700951
"CYP2A6",0.0338683584269361,11.980938670686,0.217889701501683,0.828113611668344,0.971799659441045,-5.64493315958909
"GSTA1",0.260955050147496,11.1368612363429,2.70622303790324,0.00844044285647761,0.364974491920511,-2.56022640047482
"GSTA2",0.288403330983776,10.1522627123814,0.768170137313554,0.444825877872186,0.863234149023578,-5.40341257663996
"GSTA3",-0.00191190257747209,5.18498413011039,-0.0100271466144321,0.992026560111913,0.999523737863665,-5.66611404404558
"GSTA5",0.099624059109678,2.86019860591944,1.39837674556358,0.166168763222304,0.706205223946473,-4.80424937221182
"GSTP1",-0.147020951393038,7.30807866392025,-1.08590606717306,0.281038551346103,0.79325019362581,-5.1434059358102
"GSTM1",0.36157718127181,8.90262013874521,0.419759370871157,0.675875107320212,0.935357838375719,-5.58745954779551
"GSTM3",-0.491473934469217,5.31195959152032,-1.56066152649937,0.122862150895589,0.656656065986902,-4.5963773697672
"MGST1",0.0203073915189051,11.1775066229863,0.286866505858948,0.775014684701459,0.957905624996097,-5.62937682431072
"UGT1A1",0.0569453111873219,8.91841178759882,0.646607375669525,0.519882754460432,0.887925015095246,-5.47975162040198
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CES1",0.106720706133654,12.667412836291,1.87230480988804,0.0651077066175105,0.571511793444285,-4.13846388099955
"CBR1",-0.0949369493474812,7.75701803898387,-0.855403948639302,0.395083412735286,0.843250688863581,-5.3406940542376
"CBR3",-0.0695496361044259,3.84589895528557,-0.888347295271816,0.377226908537789,0.834212508784551,-5.31529338849423
"PRDX6",-0.0519114797180098,10.4117944065524,-0.54703452785963,0.585997773656118,0.913745300395716,-5.53262288354352
"PRDX1",0.0238110486852996,10.0725578035552,0.322602992531253,0.747903888809266,0.951335707638921,-5.61964932205157
"GCLC",0.136057481299289,9.0832544633763,1.62235504875295,0.108972233160461,0.637760233755604,-4.51179250323435
"GCLM",-0.244556074539398,6.84983642503471,-1.96112614506959,0.0536199528701135,0.54089896678168,-3.9942131194011
"GSR",-0.105336305267082,9.24007431148033,-1.57174949000526,0.120266642290831,0.653184045667929,-4.58139923158066
"SLC7A11",-0.251173450117289,2.46097093425254,-2.19499114600521,0.0312950221372694,0.490468536599618,-3.58629187187688
"FTL",-0.0381956246336426,11.0628365640426,-0.76921501906715,0.444209257319199,0.862960749573258,-5.4027004728368
"FTH1",0.00611810692731929,10.353317900408,0.118242267503638,0.906195458251723,0.984723047027108,-5.65990661107319
"HMOX1",0.0296605435886201,7.95361683436918,0.130679692768565,0.896382618883299,0.982222833699272,-5.65852228268897
"G6PD",-0.0971018994105366,6.01811829717427,-1.16223166699855,0.248868872590856,0.775162560390641,-5.06810087381625
"PGD",-0.102308365873704,9.05413317153669,-1.02259241092914,0.309825581332853,0.808124687034614,-5.2021258978272
"TKT",-0.0392730594262032,7.60251515909385,-0.368673131573986,0.713422015383478,0.943116409955369,-5.60543149190195
"TALDO1",-0.0010945567808065,8.89886989339376,-0.0148918286408415,0.988158478797668,0.99909971479831,-5.66605982764993
"ME1",0.133681017044515,6.51337170975588,0.687646068326484,0.493821285568196,0.877631219938934,-5.45542559863656
"IDH1",0.211624240174215,10.6866224603161,2.71113656083607,0.00832767925676244,0.364974491920511,-2.54951785159739
"TXN",-0.390191693415016,8.8493169928559,-3.20357797344067,0.00200152720373343,0.274154390549734,-1.40102548065836
"SRXN1",-0.317045320656924,6.74763261448099,-3.17962267988723,0.0021526711671104,0.279206729471047,-1.46019918845257
"TXNRD1",-0.107293380643759,6.78864987615361,-1.1379512122064,0.25880473589145,0.782188821236082,-5.09259021737125
