"Gene","Score","rho","pval","adj_p","n"
"NQO1","NAS",0.225985778409171,0.135519546141938,0.275539383844502,45
"NQO1","ballooning",0.222362349694258,0.099522952443546,0.255916163426261,56
"NQO1","fibrosis_stage",0.0442185507457149,0.748545267109439,0.910494736826612,55
"NQO1","inflammation",0.164417821570073,0.280464275312132,0.487848009169742,45
"NQO1","steatosis",0.141749564116607,0.29736288150751,0.456389793181728,56
"PTGR1","NAS",0.462304239901947,0.0013876072585057,0.0166512871020684,45
"PTGR1","ballooning",0.358005019228135,0.0067472092310192,0.0490605586329129,56
"PTGR1","fibrosis_stage",0.0457877258859177,0.739930427923714,0.910494736826612,55
"PTGR1","inflammation",0.349730562330213,0.0185251837532075,0.111151102519245,45
"PTGR1","steatosis",0.528474104856147,2.83243880969283e-05,0.000254919492872355,56
"CYP2A6","NAS",0.103260168364544,0.499672126072965,0.624436180196927,45
"CYP2A6","ballooning",-0.110158537109388,0.418962613565999,0.603306163535039,56
"CYP2A6","fibrosis_stage",0.0137604589217784,0.920573778906768,0.942824504222675,55
"CYP2A6","inflammation",0.0314905697013433,0.837297492103017,0.861220277591675,45
"CYP2A6","steatosis",-0.00586312065689128,0.965792141165205,0.965792141165205,56
"GSTA1","NAS",0.259983638877807,0.084573700127039,0.202976880304894,45
"GSTA1","ballooning",0.209640736236768,0.120970729939929,0.290329751855829,56
"GSTA1","fibrosis_stage",0.0304983270839417,0.82506293930338,0.928195806716303,55
"GSTA1","inflammation",0.0770592764456402,0.614871415098897,0.737845698118676,45
"GSTA1","steatosis",0.407762797214268,0.00181227575428661,0.00932027530775969,56
"GSTA2","NAS",0.164256329793568,0.28094351427104,0.44097807272395,45
"GSTA2","ballooning",0.0150532274995377,0.912319346999489,0.975414522162365,56
"GSTA2","fibrosis_stage",-0.151646694959599,0.269065576313684,0.83533052678059,55
"GSTA2","inflammation",0.0482361432366459,0.753023181026633,0.797318662263494,45
"GSTA2","steatosis",0.234662782055813,0.0817102349973539,0.147078422995237,56
"GSTA3","NAS",-0.0165322929337682,0.914163487560242,0.914163487560242,45
"GSTA3","ballooning",-0.120303103467773,0.377141915260089,0.565712872890133,56
"GSTA3","fibrosis_stage",-0.225116279729095,0.0984435473097878,0.708793540630472,55
"GSTA3","inflammation",-0.0646853349394653,0.672912338746467,0.739108425410057,45
"GSTA3","steatosis",0.12588464939796,0.355240494775624,0.456737778997231,56
"GSTA5","NAS",-0.209186835589374,0.167866213478044,0.318062299221557,45
"GSTA5","ballooning",-0.24113797855917,0.0734003221897668,0.2202009665693,56
"GSTA5","fibrosis_stage",-0.14182929151833,0.301647134670769,0.83533052678059,55
"GSTA5","inflammation",-0.161231716870878,0.290018342403154,0.487848009169742,45
"GSTA5","steatosis",-0.238491054955313,0.0767121343887204,0.145349307262839,56
