"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NQO1",-0.779995413600401,5.47494304007775,-4.00606167097362,0.00456506215491704,0.452386462018681,-1.67577546351448
"PTGR1",0.213728098586444,7.12668361073568,1.54478165776318,0.163886289715105,0.781270114715801,-4.98040791465767
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"GSTA2",-1.10844389425331,8.51475677720718,-4.0052449283808,0.00457000622897209,0.452386462018681,-1.67678015857287
"GSTA3",-0.402318449768632,11.560126053644,-3.79613593595589,0.00604907815722139,0.493831316811249,-1.93777197267919
NA,NA,NA,NA,NA,NA,NA
"GSTP1",-0.180143429086407,14.1966023103305,-2.53779784769708,0.0369702219349117,0.647008200994791,-3.63670875469503
"GSTM1",-1.1225192222724,11.1710971649429,-9.9916237353619,1.44346376045539e-05,0.0167415292716813,2.97266490512369
"GSTM3",-1.09253464241369,9.73899386096654,-4.14948816611197,0.00378062873315054,0.435218333544875,-1.50114887492089
"MGST1",-0.20061981068212,8.63089558420393,-1.91092466853979,0.095242190621,0.734866101808779,-4.50510110604573
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"CBR1",0.357008301775259,9.22854930151886,2.77587807411544,0.025900245104846,0.596332644505236,-3.30362106103627
"CBR3",0.100847526104847,4.70609824554403,0.923564512157109,0.384750204884163,0.875556676135756,-5.65267883857222
"PRDX6",-0.234762390909134,8.85526718605374,-2.14153567419591,0.0672582190330796,0.70016374321245,-4.19004041792687
"PRDX1",-0.107223382323351,12.4266973412152,-1.62769861572507,0.145167374440277,0.766262096462199,-4.87639194840744
"GCLC",-0.253635867865009,11.3828465255337,-2.03137021621934,0.0794408720540059,0.719629998362922,-4.34159031184041
"GCLM",-0.163109825477967,10.8513089248197,-1.43425616297975,0.192250999755871,0.798606509658573,-5.11487400358753
"GSR",-0.183503775032422,9.15984833993277,-1.90831440965915,0.095616400785864,0.734866101808779,-4.50861433032242
"SLC7A11",0.0546650220766263,2.93382359143629,0.849042195285971,0.42239108181647,0.885343673902238,-5.71666653206265
NA,NA,NA,NA,NA,NA,NA
"FTH1",-0.145926898429972,13.5097427588161,-2.05143532285158,0.0770704935648804,0.717014599120381,-4.31411271472621
"HMOX1",-0.216895397583564,7.28884521672341,-1.78777909117623,0.114524466164197,0.750329072777025,-4.66918107762715
"G6PDX",-0.257889804927693,7.00908039886859,-1.57372846698888,0.157113416215357,0.776884896638245,-4.94438124379783
"PGD",-0.13346923203825,8.8471162122486,-0.871498099374511,0.410780251854352,0.882321375663667,-5.69783867622969
"TKT",-0.225906098319111,8.63761346629579,-3.00278444009096,0.018536927803684,0.5761406422774,-2.98921719353632
"TALDO1",-0.110840027436341,10.2725513873694,-1.47285280090211,0.181880089769068,0.798426428844946,-5.06849976024308
"ME1",-1.64389731500654,10.226192683683,-14.0358183169061,1.29962081824743e-06,0.00665763254667702,4.28872015513801
"IDH1",-0.144374873846873,12.1949938586389,-1.99346691292497,0.084115278221603,0.725704865998536,-4.39332265840543
NA,NA,NA,NA,NA,NA,NA
"SRXN1",-0.16796866446856,6.50033329808269,-1.73353218692782,0.124152555892817,0.759636341512526,-4.74025117317944
"TXNRD1",-0.349190758579772,7.83214718874059,-4.79759940926977,0.0016753808768098,0.343900905770596,-0.757683757446161
