"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"NQO1",40.7890696465932,1.12259497993071,0.218307390135323,5.14226742042418,2.71442370044374e-07,2.39900099357789e-06,"NQO1"
"PTGR1",8631.19161952384,0.323353361960941,0.0783851736437434,4.125185247794,3.70436472098548e-05,0.00019291111694786,"PTGR1"
"CYP2A6",22091.9291827953,-0.217915582505334,0.115672913708992,-1.88389464324866,0.0595792279661502,0.115728388725596,"CYP2A6"
"GSTA1",28844.4154377991,0.166566838958322,0.0883913755898836,1.88442410638743,0.0595076316265516,0.115629663268765,"GSTA1"
"GSTA2",11804.4766097088,-0.151969756484582,0.21913935577236,-0.693484545251863,0.488005521304256,0.612197116450265,"GSTA2"
"GSTA3",0.346969468779172,-0.0669623528733147,0.663585141352747,-0.100909964223745,0.919621933180236,0.946028985721863,"GSTA3"
"GSTA5",0.333462027074428,1.19753690516451,0.664032258592237,1.80343182077226,0.0713204239459672,0.13386405937532,"GSTA5"
"GSTP1",310.185810212646,0.220485864712449,0.122234577054255,1.80379292035006,0.0712637761190423,0.133772768906837,"GSTP1"
"GSTM1",3453.05277859131,-0.489126154697188,0.71973166195317,-0.679595161021293,0.496760834485972,0.61978540461335,"GSTM1"
"GSTM3",213.193712576443,-0.857404595405922,0.231916336654864,-3.69704268260283,0.000218125679247115,0.000932885267376716,"GSTM3"
"MGST1",19288.3442953964,-0.0310764150637379,0.0692937813865828,-0.448473361417034,0.653811607090798,0.751324596712975,"MGST1"
"UGT1A1",1604.3383338917,0.511730311334943,0.209596206160132,2.44150560122247,0.0146261614394101,0.0353965399506721,"UGT1A1"
"UGT1A4",1974.20467949964,-0.185005313959736,0.159932023234625,-1.15677467350193,0.247364431801951,0.363985319429461,"UGT1A4"
"UGT1A8",0.0550902016615304,0.577355782833571,3.82306358814427,0.151019141984458,0.879960615958215,NA,"UGT1A8"
"UGT1A10",0.575714031474982,0.874827921038402,0.730730721508631,1.19719603307806,0.231230155701788,0.344986138143252,"UGT1A10"
"CES1",49017.9577982041,0.525272707729938,0.0832483298244184,6.30970866127653,2.79561220482769e-10,4.89407960511816e-09,"CES1"
"CBR1",2955.73947435893,0.0797013483168414,0.0917859923255552,0.868338907685926,0.38520882848447,0.512456001634469,"CBR1"
"CBR3",7.27358240553158,0.53849956067582,0.233313860032434,2.30804788280028,0.0209964734253487,0.0482274931476754,"CBR3"
"PRDX6",7706.45327821141,-0.0935929229087847,0.0682813790023531,-1.37069467951957,0.170470154082391,0.270755136168922,"PRDX6"
"PRDX1",6042.83171804679,0.210383260305178,0.0601439949722164,3.49799278219487,0.000468773818962508,0.00181858108025386,"PRDX1"
"GCLC",2220.84263196575,-0.0832543891308634,0.0787504276976677,-1.05719285043742,0.290423582121015,0.412481014117108,"GCLC"
"GCLM",585.891565003254,-0.127450389919789,0.116241104740986,-1.09643133729484,0.272890056325792,0.392721829443951,"GCLM"
"GSR",782.960030943743,0.0647347957799573,0.0445743463738235,1.4522881667643,0.146421496354412,0.240403599156019,"GSR"
"SLC7A11",1.89091124820939,-0.888654681709771,0.410603865445142,-2.16426282481868,0.0304441840898441,0.0659551587085856,"SLC7A11"
"FTL",113199.377580291,0.242313386935183,0.0724392456109061,3.34505674226268,0.000822657382406676,0.00298224461549249,"FTL"
"FTH1",23167.521396208,-0.094948884918098,0.0904153999082272,-1.05014062885827,0.293653461399378,0.416086872837856,"FTH1"
"HMOX1",948.957243065511,-1.27344819560394,0.131187333159545,-9.70709720926503,2.81232220534763e-22,4.56005758752531e-20,"HMOX1"
"G6PD",70.7456344297399,0.0803400354945184,0.11250884808904,0.714077486874075,0.475179266230732,0.600048397036527,"G6PD"
"PGD",1321.5882363714,0.63389823239649,0.0843535150886786,7.51478147330422,5.70060739377826e-14,2.09243613370309e-12,"PGD"
"TKT",1288.58482716582,0.438465621897947,0.0957171001443161,4.58084941182774,4.63091211749901e-06,3.06125350439166e-05,"TKT"
"TALDO1",1841.8986874283,0.0874845161336851,0.0623824786122788,1.40238922979353,0.160799047759823,0.258993624904696,"TALDO1"
"ME1",363.513461959805,1.08436835063297,0.196387407551418,5.52157780457011,3.35968983774437e-08,3.66973054154145e-07,"ME1"
"IDH1",8699.10589285392,0.0170135594173684,0.0697471482889402,0.243931971912123,0.807283506964418,0.86882599882799,"IDH1"
"TXN",2159.89095792014,0.030881946139672,0.0887265779935629,0.348057446122992,0.727797041616539,0.809977132079032,"TXN"
"SRXN1",0.539643997657394,-1.44056952097991,0.716178698979846,-2.0114665837338,0.0442761965153409,0.090298785932679,"SRXN1"
"TXNRD1",910.87347026646,0.453180836477446,0.0878114593413463,5.16083936967512,2.45845058031621e-07,2.19330038150967e-06,"TXNRD1"
